ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
M35,M,35,39,89,96,Total,265,Kevin Roberts,2019-06-23,PWA Champs
M35,M,35,39,96,102,Snatch,157,Tarek Yehia,2022-12-04,"The Nike 2022 North American Open Finals, powered by Rogue"
M35,M,35,39,96,102,Clean & Jerk,195,Tarek Yehia,2022-12-04,"The Nike 2022 North American Open Finals, powered by Rogue"
M35,M,35,39,96,102,Total,352,Tarek Yehia,2022-12-04,"The Nike 2022 North American Open Finals, powered by Rogue"
M35,M,35,39,102,109,Snatch,146,Caleb Johnson,2021-07-04,"The Nike 2021 USA Weightlifting National Championships, powered by Rogue"
M35,M,35,39,102,109,Clean & Jerk,175,Caleb Johnson,2021-03-07,The Nike 2021 North American Open Series 1 powered by Rogue
M35,M,35,39,102,109,Total,320,Joshua Uikilifi,2025-04-12,Hassle Free Barbell Spring Open
M35,M,35,39,109,>109,Snatch,128,Rajan Bains,2025-04-12,2025 SoCal Spring Classic
M35,M,35,39,109,>109,Clean & Jerk,178,Rajan Bains,2025-04-12,2025 SoCal Spring Classic
M35,M,35,39,109,>109,Total,306,Rajan Bains,2025-04-12,2025 SoCal Spring Classic
W40,F,40,44,0,45,Snatch,58,Rhiannon Ricketts,2018-10-20,Occam  Back Alley Rumble IV
W40,F,40,44,0,45,Clean & Jerk,68,Rhiannon Ricketts,2019-03-31,2019 Masters National Championships
W40,F,40,44,0,45,Total,124,Rhiannon Ricketts,2019-03-31,2019 Masters National Championships
W40,F,40,44,0,49,Snatch,61,Carrie Olson,2018-08-24,2018 World Masters Weightlifting Championships
W40,F,40,44,0,49,Clean & Jerk,81,Carrie Olson,2019-03-31,2019 Masters National Championships
W40,F,40,44,0,49,Total,141,Carrie Olson,2019-03-31,2019 Masters National Championships
W40,F,40,44,49,55,Snatch,68,wendy spies,2018-06-18,2018 Pan American Masters Championships
W40,F,40,44,49,55,Clean & Jerk,80,wendy spies,2018-08-24,2018 World Masters Weightlifting Championships
W40,F,40,44,49,55,Total,147,wendy spies,2018-08-24,2018 World Masters Weightlifting Championships
W40,F,40,44,55,59,Snatch,81,Jocelyn Forest,2020-05-17,Virtual Super Championship
W40,F,40,44,55,59,Clean & Jerk,99,Jocelyn Forest,2020-12-05,2020 Online National Championships
W40,F,40,44,55,59,Total,177,Jocelyn Forest,2020-12-05,2020 Online National Championships
W40,F,40,44,59,64,Snatch,77,Carlee Acevedo-Fuller,2020-04-29,AO Series Online Qualifier - April
W40,F,40,44,59,64,Clean & Jerk,93,Carlee Acevedo-Fuller,2020-04-29,AO Series Online Qualifier - April
W40,F,40,44,59,64,Total,170,Carlee Acevedo-Fuller,2020-04-29,AO Series Online Qualifier - April
